bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
327,327,BTCUSDT,5m,92529.68,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,241.35500000000215,1000.0,1000.0,0.0,0.0
328,328,BTCUSDT,5m,92623.86,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.866294924896777,238.70785714285844,1000.0,1000.0,0.0,0.0
329,329,BTCUSDT,5m,92699.65,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.8345328263583799,236.1221428571433,1000.0,1000.0,0.0,0.0
330,330,BTCUSDT,5m,92817.43,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.8727089030880294,241.52571428571432,1000.0,1000.0,0.0,0.0
331,331,BTCUSDT,5m,92686.52,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,235.3421428571424,1000.0,1000.0,0.0,0.0
332,332,BTCUSDT,5m,92759.66,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.9445922386013644,240.8221428571425,1000.0,1000.0,0.0,0.0
333,333,BTCUSDT,5m,92718.12,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,225.05142857142866,1000.0,1000.0,0.0,0.0
334,334,BTCUSDT,5m,92714.63,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.5925035840140004,193.48214285714286,1000.0,1000.0,0.0,0.0
335,335,BTCUSDT,5m,92776.79,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,192.09357142857127,1000.0,1000.0,0.0,0.0
336,336,BTCUSDT,5m,92662.56,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,194.86857142857065,1000.0,1000.0,0.0,0.0
337,337,BTCUSDT,5m,92833.2,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,192.84999999999854,1000.0,1000.0,0.0,0.0
338,338,BTCUSDT,5m,92970.4,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,194.749285714284,1000.0,1000.0,0.0,0.0
339,339,BTCUSDT,5m,92994.6,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,192.25214285714173,1000.0,1000.0,0.0,0.0
340,340,BTCUSDT,5m,93024.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,175.604999999998,1000.0,1000.0,0.0,0.0
341,341,BTCUSDT,5m,92903.17,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,173.76571428571125,1000.0,1000.0,0.0,0.0
342,342,BTCUSDT,5m,93021.32,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,174.24142857142579,1000.0,1000.0,0.0,0.0
343,343,BTCUSDT,5m,92977.32,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,176.8828571428551,1000.0,1000.0,0.0,0.0
344,344,BTCUSDT,5m,93079.38,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,175.39714285714166,1000.0,1000.0,0.0,0.0
345,345,BTCUSDT,5m,93022.51,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,176.14999999999938,1000.0,1000.0,0.0,0.0
346,346,BTCUSDT,5m,93033.12,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,166.66071428571325,1000.0,1000.0,0.0,0.0
347,347,BTCUSDT,5m,93048.02,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,164.50642857142728,1000.0,1000.0,0.0,0.0
348,348,BTCUSDT,5m,93077.53,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,165.4978571428562,1000.0,1000.0,0.0,0.0
349,349,BTCUSDT,5m,93184.65,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.7023962268613734,170.1757142857137,1000.0,1000.0,0.0,0.0
350,350,BTCUSDT,5m,93181.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,168.23785714285728,1000.0,1000.0,0.0,0.0
351,351,BTCUSDT,5m,93082.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6036428419031887,178.47857142857225,1000.0,1000.0,0.0,0.0
352,352,BTCUSDT,5m,92980.43,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6796105798890761,187.12857142857268,1000.0,1000.0,0.0,0.0
353,353,BTCUSDT,5m,92900.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.9222382427813334,186.5850000000012,1000.0,1000.0,0.0,0.0
354,354,BTCUSDT,5m,93020.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,196.06285714285852,1000.0,1000.0,0.0,0.0
355,355,BTCUSDT,5m,93052.23,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,186.29428571428747,1000.0,1000.0,0.0,0.0
356,356,BTCUSDT,5m,93178.91,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.7431547961407349,180.92714285714464,1000.0,1000.0,0.0,0.0
357,357,BTCUSDT,5m,93220.84,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.5448020602091783,176.70357142857287,1000.0,1000.0,0.0,0.0
358,358,BTCUSDT,5m,93276.2,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.9001274668301188,168.59785714285889,1000.0,1000.0,0.0,0.0
359,359,BTCUSDT,5m,93386.62,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.6070879332555551,168.34714285714497,1000.0,1000.0,0.0,0.0
360,360,BTCUSDT,5m,93477.59,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.9808550870368568,175.50857142857421,1000.0,1000.0,0.0,0.0
361,361,BTCUSDT,5m,93489.64,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,171.11500000000316,1000.0,1000.0,0.0,0.0
362,362,BTCUSDT,5m,93406.89,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,173.43642857143172,1000.0,1000.0,0.0,0.0
363,363,BTCUSDT,5m,93467.91,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,1.0,162.6885714285745,1000.0,1000.0,0.0,0.0
364,364,BTCUSDT,5m,93700.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.7389208205648807,176.70357142857392,1000.0,1000.0,0.0,0.0
365,365,BTCUSDT,5m,93522.82,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.7029027845290029,181.02142857143085,1000.0,1000.0,0.0,0.0
366,366,BTCUSDT,5m,93520.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,166.43928571428842,1000.0,1000.0,0.0,0.0
367,367,BTCUSDT,5m,93688.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,171.991428571431,1000.0,1000.0,0.0,0.0
368,368,BTCUSDT,5m,93588.75,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,165.42142857143128,1000.0,1000.0,0.0,0.0
369,369,BTCUSDT,5m,93483.17,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,169.63857142857472,1000.0,1000.0,0.0,0.0
370,370,BTCUSDT,5m,93405.53,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,165.08857142857389,1000.0,1000.0,0.0,0.0
371,371,BTCUSDT,5m,93331.71,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,164.86285714285935,1000.0,1000.0,0.0,0.0
372,372,BTCUSDT,5m,93603.45,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,183.5057142857165,1000.0,1000.0,0.0,0.0
373,373,BTCUSDT,5m,93580.86,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,192.44571428571675,1000.0,1000.0,0.0,0.0
374,374,BTCUSDT,5m,93762.17,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,218.46857142857334,1000.0,1000.0,0.0,0.0
375,375,BTCUSDT,5m,93661.46,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,237.1128571428583,1000.0,1000.0,0.0,0.0
376,376,BTCUSDT,5m,93781.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,240.6428571428582,1000.0,1000.0,0.0,0.0
377,377,BTCUSDT,5m,93828.0,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,258.78428571428645,1000.0,1000.0,0.0,0.0
378,378,BTCUSDT,5m,94033.69,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,251.14642857142877,1000.0,1000.0,0.0,0.0
379,379,BTCUSDT,5m,93769.61,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,249.3328571428574,1000.0,1000.0,0.0,0.0
380,380,BTCUSDT,5m,93765.17,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,251.38285714285615,1000.0,1000.0,0.0,0.0
381,381,BTCUSDT,5m,93595.12,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,250.0907142857125,1000.0,1000.0,0.0,0.0
382,382,BTCUSDT,5m,93641.13,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,250.2571428571412,1000.0,1000.0,0.0,0.0
383,383,BTCUSDT,5m,93560.91,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,247.69714285714144,1000.0,1000.0,0.0,0.0
384,384,BTCUSDT,5m,93553.56,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,248.16785714285652,1000.0,1000.0,0.0,0.0
385,385,BTCUSDT,5m,93523.65,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,243.87071428571446,1000.0,1000.0,0.0,0.0
386,386,BTCUSDT,5m,93587.01,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,229.60285714285627,1000.0,1000.0,0.0,0.0
387,387,BTCUSDT,5m,93646.85,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,217.6092857142846,1000.0,1000.0,0.0,0.0
