open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1764141300000,87824.0,87887.99,87795.6,87800.53,33.03436,1764141599999,2901883.480213,11047,19.69461,1729984.500422,0
1764141600000,87800.53,87831.1,87726.86,87792.12,26.27655,1764141899999,2306785.8983393,10087,10.56173,927232.9348467,0
1764141900000,87792.12,87800.0,87760.01,87799.99,23.02015,1764142199999,2020894.9174689,5081,8.53726,749451.0149706,0
1764142200000,87800.0,87800.0,87719.39,87800.0,32.47383,1764142499999,2850108.7485161,8806,12.73133,1117423.4835405,0
1764142500000,87800.0,87800.0,87720.98,87730.71,23.35217,1764142799999,2049582.0466677,6074,11.21053,983900.1665445,0
1764142800000,87730.71,87795.9,87709.26,87789.33,32.77586,1764143099999,2875796.0704199,6703,23.23933,2039094.9727347,0
1764143100000,87789.34,87870.0,87741.51,87853.6,34.80999,1764143399999,3056290.5167391,7322,26.26094,2305718.7778498,0
1764143400000,87853.61,87853.61,87784.32,87794.88,17.89088,1764143699999,1571284.1854369,5599,6.85457,602016.4792712,0
1764143700000,87794.89,87970.0,87770.01,87935.05,28.25293,1764143999999,2483138.1046897,7486,15.73342,1382725.29801,0
1764144000000,87935.05,87941.58,87801.7,87832.0,42.61729,1764144299999,3744454.6568376,11383,18.03173,1584211.6463608,0
1764144300000,87832.0,87842.39,87700.01,87701.97,22.98072,1764144599999,2017064.6107422,8714,8.56586,751912.6399253,0
1764144600000,87701.98,87728.75,87585.07,87617.99,34.15463,1764144899999,2994330.1875667,9236,12.80395,1122610.2843209,0
1764144900000,87618.0,87678.85,87539.78,87565.69,37.07177,1764145199999,3247686.4453685,10273,15.81691,1385710.2012635,0
1764145200000,87565.68,87585.06,87548.2,87563.87,17.30416,1764145499999,1515278.6529486,5921,10.79329,945127.0203838,0
1764145500000,87563.86,87596.24,87530.33,87557.31,26.65343,1764145799999,2333854.7303651,6337,12.62689,1105585.8945634,0
1764145800000,87557.3,87619.74,87504.36,87504.36,20.90343,1764146099999,1830384.934436,8387,9.52004,833718.7127311,0
1764146100000,87504.37,87552.95,87452.27,87503.7,56.32365,1764146399999,4927851.9934509,8980,13.59654,1189501.1990853,0
1764146400000,87503.7,87578.47,87503.7,87538.9,15.51326,1764146699999,1358165.2169901,4446,10.72729,939121.7331897,0
1764146700000,87538.9,87573.83,87508.01,87573.82,26.71246,1764146999999,2338537.0766423,8190,13.19642,1155330.9760136,0
1764147000000,87573.82,87573.83,87458.89,87458.89,22.565,1764147299999,1974440.8497965,7546,8.77271,767620.7001898,0
1764147300000,87458.9,87465.55,87416.44,87424.8,29.48286,1764147599999,2577775.5241293,7436,14.98874,1310473.1101085,0
1764147600000,87424.8,87453.47,87390.07,87412.72,51.1342,1764147899999,4469753.1088563,9777,20.28291,1772953.8839667,0
1764147900000,87412.72,87428.99,87311.12,87311.12,76.92778,1764148199999,6720414.858481,10088,43.21512,3774639.1895052,0
1764148200000,87311.13,87435.76,87311.12,87362.01,43.50136,1764148499999,3801122.5651048,7973,26.91434,2351567.3164537,0
1764148500000,87362.01,87362.01,87270.5,87315.75,83.07633,1764148799999,7253549.2398668,9733,21.38474,1867043.7459392,0
1764148800000,87315.75,87315.75,87120.0,87208.35,60.4623,1764149099999,5272084.646496,11318,25.36337,2211215.504607,0
1764149100000,87208.35,87208.36,87099.78,87115.23,54.87967,1764149399999,4781695.386956,8095,27.30427,2378904.1244482,0
1764149400000,87115.23,87132.0,86958.96,86973.72,94.06476,1764149699999,8188554.2683437,9968,28.88861,2514689.2252693,0
1764149700000,86973.73,87065.95,86894.58,86981.27,324.68391,1764149999999,28234295.8943138,16014,131.80418,11458826.864087,0
1764150000000,86981.26,86981.26,86937.44,86960.93,27.91842,1764150299999,2427772.3572278,4441,15.37759,1337196.114832,0
1764150300000,86960.92,86970.46,86819.0,86851.54,68.43915,1764150599999,5945867.2511693,13022,36.71775,3189849.9123205,0
1764150600000,86851.54,86873.46,86768.1,86768.11,79.04034,1764150899999,6862145.464457,10662,18.77872,1630515.2097824,0
1764150900000,86768.11,86833.73,86746.6,86825.27,48.02973,1764151199999,4168530.0761099,7309,26.9912,2342626.0242837,0
1764151200000,86825.27,87078.59,86825.27,87029.49,98.91042,1764151499999,8600605.0239283,17118,66.9154,5818887.8478365,0
1764151500000,87029.49,87045.7,86921.56,86991.31,45.06821,1764151799999,3920449.684597,11186,21.37076,1858882.2486273,0
1764151800000,86991.3,87001.7,86889.54,86921.36,34.24748,1764152099999,2978000.9256497,7337,13.4427,1168812.6519088,0
1764152100000,86921.36,86927.48,86856.64,86856.65,31.74217,1764152399999,2758368.998199,8181,9.8421,855257.8359712,0
1764152400000,86856.64,86867.78,86789.38,86789.39,32.097,1764152699999,2786762.0828563,8432,12.607,1094647.3838194,0
1764152700000,86789.38,86884.16,86783.29,86868.08,40.14652,1764152999999,3486055.108761,9235,18.63517,1618193.3231632,0
1764153000000,86868.08,86868.09,86682.42,86704.15,45.76063,1764153299999,3969815.7733347,11999,13.96826,1211628.9288819,0
1764153300000,86704.15,86825.67,86670.36,86804.0,26.2086,1764153599999,2273336.7290965,11706,12.61072,1093913.2234519,0
1764153600000,86804.0,86934.6,86804.0,86893.42,35.42774,1764153899999,3078330.9174942,9543,22.06108,1916861.0408277,0
1764153900000,86893.41,86895.35,86800.05,86895.35,33.8096,1764154199999,2936329.6685583,8291,17.09358,1484657.1898111,0
1764154200000,86895.35,86985.03,86865.18,86976.77,32.02233,1764154499999,2784292.9655085,8026,16.73375,1454935.6391843,0
1764154500000,86976.77,86997.74,86940.02,86955.17,14.25888,1764154799999,1239925.5704342,3734,6.89599,599635.8187849,0
1764154800000,86955.17,86955.17,86844.01,86885.93,35.3738,1764155099999,3073313.9983433,7718,16.1723,1404802.7671407,0
1764155100000,86885.93,86999.54,86866.55,86951.28,40.22315,1764155399999,3497106.0325903,10579,19.58827,1702814.664829,0
1764155400000,86951.28,86997.3,86951.27,86989.83,21.42443,1764155699999,1863476.9445395,5990,12.50118,1087321.8676733,0
1764155700000,86989.84,87009.1,86900.48,86931.08,23.8876,1764155999999,2077167.9398944,9132,12.39622,1077965.2237932,0
1764156000000,86931.08,86933.03,86884.15,86884.15,26.10422,1764156299999,2268679.6305668,7446,11.1446,968480.1370106,0
1764156300000,86884.16,86951.8,86864.66,86896.44,39.95081,1764156599999,3472050.4291117,9201,21.08305,1832160.7291848,0
1764156600000,86896.44,86948.12,86872.0,86907.22,28.8516,1764156899999,2507262.2738466,9353,20.24961,1759703.372199,0
1764156900000,86907.21,86969.53,86884.86,86910.29,27.69264,1764157199999,2406885.9704825,8779,9.16196,796268.6513637,0
1764157200000,86910.29,87058.52,86894.08,87053.72,48.52627,1764157499999,4221177.9907742,9647,31.85557,2771063.707367,0
1764157500000,87053.72,87094.37,86956.99,86965.88,36.91053,1764157799999,3212785.3281317,8373,11.87223,1033362.5557061,0
1764157800000,86965.88,87043.99,86952.53,87043.98,19.73937,1764158099999,1717072.2465883,5033,9.07767,789688.4873741,0
1764158100000,87043.99,87095.83,87020.45,87095.79,16.70674,1764158399999,1454408.8489044,6159,9.34685,813698.3706893,0
1764158400000,87095.78,87175.99,86732.86,86732.86,82.77264,1764158699999,7198559.3692682,29058,31.07819,2702942.6327417,0
1764158700000,86732.86,86865.98,86699.38,86758.84,104.23196,1764158999999,9042672.2527137,19310,64.47714,5592604.5766471,0
1764159000000,86758.84,86773.47,86537.13,86559.81,98.50634,1764159299999,8535202.1786433,19646,19.38966,1680210.2175522,0
1764159300000,86559.82,86605.99,86412.01,86422.95,103.72297,1764159599999,8972099.9673508,27024,41.69247,3606422.4691747,0
1764159600000,86422.94,86494.31,86306.77,86474.42,127.41037,1764159899999,11009341.0694792,24539,41.0985,3551709.5292258,0
1764159900000,86474.12,86531.14,86430.26,86520.98,32.24801,1764160199999,2789177.2156333,11556,17.77564,1537424.9496838,0
1764160200000,86520.98,86520.98,86427.68,86455.82,31.55061,1764160499999,2728504.0011084,11844,18.48442,1598560.5170655,0
1764160500000,86455.81,86595.87,86438.79,86572.07,32.25396,1764160799999,2791412.4437173,14024,21.52365,1862802.6707448,0
1764160800000,86572.06,86687.32,86546.95,86618.62,56.37486,1764161099999,4884646.4354094,12671,38.54871,3340205.5187469,0
1764161100000,86618.62,86725.74,86602.15,86609.04,25.32188,1764161399999,2194495.3852024,12719,12.10877,1049375.1327863,0
1764161400000,86609.03,86665.11,86580.7,86665.1,56.0212,1764161699999,4852347.7879336,7373,12.56764,1088686.833008,0
1764161700000,86665.11,86698.96,86634.56,86643.08,39.74942,1764161999999,3445174.3426819,8404,17.43432,1510967.8909406,0
1764162000000,86643.07,86695.59,86568.85,86636.2,41.99569,1764162299999,3638309.4100596,16161,24.94579,2161070.6433158,0
1764162300000,86636.2,86697.54,86615.66,86620.79,37.24981,1764162599999,3227666.3321683,12973,24.0252,2081768.6214441,0
1764162600000,86620.79,86669.75,86581.56,86592.28,25.82686,1764162899999,2237221.2745141,10159,12.22377,1058840.3045433,0
1764162900000,86592.28,86694.19,86581.57,86675.93,78.97545,1764163199999,6841896.6453695,15016,55.47661,4805933.2324841,0
1764163200000,86675.92,86771.61,86662.95,86747.67,35.07641,1764163499999,3042304.6256063,11631,14.12053,1224599.4198308,0
1764163500000,86747.67,86823.99,86718.6,86718.6,56.823,1764163799999,4930746.7374719,11769,33.77796,2930976.5563328,0
1764163800000,86718.59,86790.23,86581.58,86626.72,85.1172,1764164099999,7375808.6566494,14533,54.18218,4694492.7436916,0
1764164100000,86626.71,86992.13,86626.71,86963.0,105.28838,1764164399999,9141394.4242248,18484,77.65556,6742354.92548,0
1764164400000,86963.0,87132.64,86960.94,87000.99,154.05679,1764164699999,13408508.2581322,23689,99.15768,8630387.0905809,0
1764164700000,87001.0,87037.59,86934.59,86994.3,66.50901,1764164999999,5785616.7302433,15045,45.85702,3988996.536348,0
1764165000000,86994.3,87078.87,86935.1,86980.48,52.6949,1764165299999,4584131.8284198,16870,24.39293,2122332.4354449,0
1764165300000,86980.49,87136.33,86973.59,87128.51,63.26066,1764165599999,5507697.3820094,12330,44.02994,3833416.6571089,0
1764165600000,87128.51,87128.52,86943.35,87021.96,44.54825,1764165899999,3875813.5978117,14269,22.70927,1975508.1907322,0
1764165900000,87021.96,87102.77,87004.54,87020.01,32.5312,1764166199999,2831680.9924938,11262,16.40663,1428051.3876724,0
1764166200000,87020.0,87348.33,87004.55,87315.43,95.11727,1764166499999,8293739.482082,19851,70.86093,6179375.7391633,0
1764166500000,87315.43,87315.44,87208.0,87228.0,81.50715,1764166799999,7112180.1757508,18308,45.20303,3944095.1352119,0
1764166800000,87228.0,87357.19,87209.59,87272.33,80.57662,1764167099999,7033721.7385926,18342,56.91282,4967944.6783634,0
